gene,p_val,avg_logFC,pct.1,pct.2,p_val_adj,pct_FC
Scd1,1.886796538427099e-247,0.5892560027843671,0.89,0.429,5.010576887447018e-243,2.07459204954331
Blnk,1.2157328351683994e-224,0.5862122236131329,0.8170000000000001,0.41100000000000003,3.2285001170731988e-220,1.98783452584344
Cd74,7.819816347974667e-186,0.580997562549021,0.9990000000000001,0.8590000000000001,2.0766304293681492e-181,1.16298020764866
Hsp90ab1,3.9287476952303178e-227,0.57903483094867,0.996,0.935,1.0433182379453593e-222,1.06524064101347
Il4i1,1.0512874629758496e-180,0.5745413354243321,0.268,0.061,2.791798986678669e-176,4.39344206664884
Irf8,2.773659559219199e-187,0.5696539363770009,0.875,0.521,7.3657303254625054e-183,1.67946255893546
Nolc1,2.872890664666519e-141,0.567324622164804,0.53,0.256,7.629248449088417e-137,2.0703124581909202
Rasgef1b,1.7510627911962391e-184,0.564137156135303,0.39299999999999996,0.122,4.650122348300738e-180,3.22131129333514
Pax5,5.876917884720138e-235,0.561639725604199,0.879,0.414,1.560674313466279e-230,2.1231883786669496
H2-Eb1,4.071967329631319e-207,0.5572682261584829,0.987,0.746,1.0813516440568893e-202,1.32305629593758
Nop58,7.235512980537157e-147,0.5572293678369878,0.595,0.303,1.9214628271114495e-142,1.9636963378318
Npm1,5.265378370647038e-198,0.55118783775722,0.977,0.8290000000000001,1.3982738801090297e-193,1.17852834525298
Pa2g4,3.4521901113961388e-130,0.548317146262333,0.7140000000000001,0.446,9.167636059823596e-126,1.6008968475135201
Fcer2a,2.828450920655739e-117,0.5460566392903811,0.5920000000000001,0.295,7.511234264893378e-113,2.00677962688883
Cd72,1.4367770656406494e-170,0.540702931624884,0.7829999999999999,0.424,3.815505175515318e-166,1.84669809323825
Set,1.5479255743713894e-156,0.537940276975996,0.9229999999999999,0.706,4.110671155300659e-152,1.3073654347398702
Ebf1,1.1291862496877795e-219,0.537210271278735,0.7809999999999999,0.35,2.998667004670869e-215,2.2314285362449
Zfp36l1,7.974519215871737e-176,0.5347450254124171,0.935,0.6459999999999999,2.1177133229668996e-171,1.44736841412742
Cd79a,4.480907775712848e-178,0.5345600576587021,0.992,0.687,1.1899498689183095e-173,1.44395923662359
Bcl11a,4.9118085872455984e-167,0.5335533005607029,0.764,0.418,1.3043798884289394e-162,1.8277511763695902
H2-Aa,1.3980901692608594e-177,0.52769816399593,0.9940000000000001,0.813,3.712768253489139e-173,1.22263222358386
Hspd1,6.486250220353889e-108,0.527023393411079,0.636,0.385,1.7224886085171793e-103,1.65194803501434
G3bp1,7.585003525696518e-142,0.524595372878845,0.784,0.508,2.0142735362839696e-137,1.5433070759191498
Pdia4,8.170255347241395e-183,0.518618537783885,0.758,0.42,2.169693010013429e-178,1.80476188560091
Ccnd2,8.822925442166469e-42,0.517725666290531,0.539,0.38,2.34301608042173e-37,1.4184210416205
Cd79b,9.971440807740094e-201,0.517269693325294,0.9520000000000001,0.578,2.6480158209034585e-196,1.6470588123346201
Spib,2.096932417750779e-187,0.51498119475557,0.76,0.364,5.5686137285789675e-183,2.08791205802439
Zc3h12c,1.1608717144676694e-243,0.51291923532661,0.27399999999999997,0.048,3.0828109249403284e-239,5.70833235243076
Cd37,1.689413811814519e-210,0.512151881611954,0.981,0.8320000000000001,4.4864073186546384e-206,1.17908653630906
Hspe1,1.1732492114790895e-153,0.509460977102401,0.855,0.5820000000000001,3.115680606003859e-149,1.4690721568887901
Fcrl1,1.7110778259337294e-187,0.508760687398349,0.725,0.34,4.543938274549597e-183,2.13235290787197
Fubp1,4.964365440507749e-125,0.50706965612598,0.677,0.418,1.3183368863812398e-120,1.6196172100569999
Pdcd4,4.090471789726549e-165,0.506507582379879,0.885,0.619,1.0862656884797796e-160,1.4297253565472499
Ly86,1.3704249474776294e-179,0.504314048062289,0.927,0.569,3.6393004905215885e-175,1.6291739783976498
Siglecg,3.527261068515599e-146,0.502060664300499,0.774,0.457,9.366994493550037e-142,1.69365425177999
Npc2,2.5465714721871394e-51,-0.504560686798286,0.4,0.557,6.76267520154017e-47,0.718132859638548
Tmsb4x,1.1258312964667398e-123,-0.507727252029734,1.0,0.996,2.9897575908970693e-119,1.00401606421671
Cxcr4,1.0723099157541298e-81,-0.5119464316923811,0.371,0.611,2.8476262122766694e-77,0.6072013157577529
Gm10282,8.269270902882369e-38,-0.512249926374406,0.19,0.335,2.1959875809694398e-33,0.5671641920249489
Rnf149,4.0805323862197794e-45,-0.51262652293996,0.136,0.302,1.08362618048453e-40,0.45033114402877
Emp3,4.3641255356871395e-84,-0.512668888329233,0.196,0.45,1.1589371772570797e-79,0.435555568098765
Xbp1,4.27955014799989e-07,-0.514893505103345,0.436,0.46399999999999997,0.0113647733730285,0.9396551737143279
Ctsd,1.0879190986270399e-73,-0.516651708242168,0.105,0.32899999999999996,2.8890779583139694e-69,0.319148956864773
Ypel3,2.7532305352242495e-74,-0.521311926949664,0.51,0.708,7.31147900934153e-70,0.7203389870008621
Sema4a,1.09532260414095e-78,-0.5223630142109551,0.051,0.265,2.90873870755671e-74,0.192452860662156
Lta4h,1.5112769286630201e-24,-0.527610583327585,0.295,0.4,4.01334701175751e-20,0.7375000065625
Fam129a,4.141307486243259e-88,-0.5378541747529529,0.031,0.255,1.0997656160467597e-83,0.12156866189926802
Klf2,5.06381683629367e-75,-0.539098833118755,0.45,0.6729999999999999,1.3447471990461497e-70,0.6686478503915619
Trp53inp1,1.8705049717352898e-20,-0.540462019837575,0.435,0.519,4.96731300294023e-16,0.838150292135832
Gmfg,4.1703430495810795e-94,-0.540717015008749,0.419,0.64,1.1074763002467498e-89,0.6546875053955079
